,Tanggal,Shift,Subtotal,Jumlah Transaksi,Tanggal_month,Jumlah Transaksi_1month,Subtotal_1month
127,2022-01-01,2,10548000,55,2021-12-04,132.0,23786000.0
128,2022-01-02,1,4001000,26,2021-12-05,166.0,25315000.0
129,2022-01-02,2,10725000,56,2021-12-05,166.0,25315000.0
130,2022-01-03,1,6839000,29,2021-12-06,114.0,15896000.0
131,2022-01-03,2,7910000,51,2021-12-06,114.0,15896000.0
132,2022-01-04,1,5091000,29,2021-12-07,112.0,16314000.0
133,2022-01-04,2,5626000,39,2021-12-07,112.0,16314000.0
134,2022-01-05,1,3581500,20,2021-12-08,124.0,24816000.0
135,2022-01-05,2,5269000,33,2021-12-08,124.0,24816000.0
136,2022-01-06,1,3125000,18,2021-12-09,118.0,23208000.0
137,2022-01-06,2,5413500,39,2021-12-09,118.0,23208000.0
138,2022-01-07,1,1097000,11,2021-12-10,122.0,22004000.0
139,2022-01-07,2,9955500,53,2021-12-10,122.0,22004000.0
140,2022-01-08,1,6245500,26,2021-12-11,152.0,23542000.0
141,2022-01-08,2,8195000,48,2021-12-11,152.0,23542000.0
142,2022-01-09,1,2924000,17,2021-12-12,166.0,28182000.0
143,2022-01-09,2,9133500,54,2021-12-12,166.0,28182000.0
144,2022-01-10,1,2011000,13,2021-12-13,110.0,15408000.0
145,2022-01-10,2,7841000,46,2021-12-13,110.0,15408000.0
146,2022-01-11,1,2763000,21,2021-12-14,90.0,14628000.0
147,2022-01-11,2,6009000,37,2021-12-14,90.0,14628000.0
148,2022-01-12,1,3825000,21,2021-12-15,126.0,19866000.0
149,2022-01-12,2,7089500,43,2021-12-15,126.0,19866000.0
150,2022-01-13,1,4094000,21,2021-12-16,144.0,22758000.0
151,2022-01-13,2,7951500,52,2021-12-16,144.0,22758000.0
152,2022-01-14,1,3551500,22,2021-12-17,122.0,16519000.0
153,2022-01-14,2,7812000,45,2021-12-17,122.0,16519000.0
154,2022-01-15,1,2686000,15,2021-12-18,180.0,28996000.0
155,2022-01-15,2,8093000,46,2021-12-18,180.0,28996000.0
156,2022-01-16,1,4987000,25,2021-12-19,162.0,29516000.0
157,2022-01-16,2,9006000,52,2021-12-19,162.0,29516000.0
158,2022-01-17,1,2203500,18,2021-12-20,144.0,26036000.0
159,2022-01-17,2,5272000,34,2021-12-20,144.0,26036000.0
160,2022-01-18,1,4128000,25,2021-12-21,124.0,18658000.0
161,2022-01-18,2,4506000,31,2021-12-21,124.0,18658000.0
162,2022-01-19,1,2737500,22,2021-12-22,126.0,22536000.0
163,2022-01-19,2,7870000,38,2021-12-22,126.0,22536000.0
164,2022-01-20,1,3033000,22,2021-12-23,148.0,22202000.0
165,2022-01-20,2,5077000,36,2021-12-23,148.0,22202000.0
166,2022-01-21,1,1892000,10,2021-12-24,132.0,19730000.0
167,2022-01-21,2,5040000,34,2021-12-24,132.0,19730000.0
168,2022-01-22,1,5129000,31,2021-12-25,124.0,23734000.0
169,2022-01-22,2,7723500,47,2021-12-25,124.0,23734000.0
170,2022-01-23,1,2498000,16,2021-12-26,138.0,25648000.0
171,2022-01-23,2,9174500,52,2021-12-26,138.0,25648000.0
172,2022-01-24,1,965000,9,2021-12-27,126.0,23287000.0
173,2022-01-24,2,7924000,44,2021-12-27,126.0,23287000.0
174,2022-01-25,1,4381000,21,2021-12-28,160.0,24785000.0
175,2022-01-25,2,5053000,27,2021-12-28,160.0,24785000.0
176,2022-01-26,1,3771000,23,2021-12-29,100.0,17276000.0
177,2022-01-26,2,6941000,40,2021-12-29,100.0,17276000.0
178,2022-01-27,1,3412000,21,2021-12-30,142.0,25448000.0
179,2022-01-27,2,7155000,40,2021-12-30,142.0,25448000.0
180,2022-01-28,1,2449000,14,2021-12-31,90.0,14924000.0
181,2022-01-28,2,5844000,36,2021-12-31,90.0,14924000.0
182,2022-01-29,1,4802000,23,2022-01-01,162.0,28654000.0
183,2022-01-29,2,8750000,47,2022-01-01,162.0,28654000.0
184,2022-01-30,1,3838000,21,2022-01-02,164.0,29452000.0
185,2022-01-30,2,9264000,49,2022-01-02,164.0,29452000.0
186,2022-01-31,1,4386000,18,2022-01-03,160.0,29498000.0
187,2022-01-31,2,9684000,52,2022-01-03,160.0,29498000.0
188,2022-02-01,1,2867000,18,2022-01-04,136.0,21434000.0
189,2022-02-01,2,6950000,41,2022-01-04,136.0,21434000.0
190,2022-02-02,1,4208000,18,2022-01-05,106.0,17701000.0
191,2022-02-02,2,4732000,30,2022-01-05,106.0,17701000.0
192,2022-02-03,1,4213500,28,2022-01-06,114.0,17077000.0
193,2022-02-03,2,4125500,33,2022-01-06,114.0,17077000.0
194,2022-02-04,1,3142000,24,2022-01-07,128.0,22105000.0
195,2022-02-04,2,4164500,31,2022-01-07,128.0,22105000.0
196,2022-02-05,1,3446000,17,2022-01-08,148.0,28881000.0
197,2022-02-05,2,7013500,44,2022-01-08,148.0,28881000.0
198,2022-02-06,1,2876000,17,2022-01-09,142.0,24115000.0
199,2022-02-06,2,8645000,48,2022-01-09,142.0,24115000.0
200,2022-02-07,1,2061000,13,2022-01-10,118.0,19704000.0
201,2022-02-07,2,7155000,41,2022-01-10,118.0,19704000.0
202,2022-02-08,1,3891000,19,2022-01-11,116.0,17544000.0
203,2022-02-08,2,3844500,30,2022-01-11,116.0,17544000.0
204,2022-02-09,1,3033000,23,2022-01-12,128.0,21829000.0
205,2022-02-09,2,7396000,41,2022-01-12,128.0,21829000.0
206,2022-02-10,1,3660000,22,2022-01-13,146.0,24091000.0
207,2022-02-10,2,6645000,30,2022-01-13,146.0,24091000.0
208,2022-02-11,1,4021000,27,2022-01-14,134.0,22727000.0
209,2022-02-11,2,6303000,40,2022-01-14,134.0,22727000.0
210,2022-02-12,1,5509000,28,2022-01-15,122.0,21558000.0
211,2022-02-12,2,5236000,39,2022-01-15,122.0,21558000.0
212,2022-02-13,1,3712000,17,2022-01-16,154.0,27986000.0
213,2022-02-13,2,11570000,55,2022-01-16,154.0,27986000.0
214,2022-02-14,1,1503000,9,2022-01-17,104.0,14951000.0
215,2022-02-14,2,6721000,40,2022-01-17,104.0,14951000.0
216,2022-02-15,1,2829000,17,2022-01-18,112.0,17268000.0
217,2022-02-15,2,5350000,37,2022-01-18,112.0,17268000.0
218,2022-02-16,1,3352000,23,2022-01-19,120.0,21215000.0
219,2022-02-16,2,4321000,29,2022-01-19,120.0,21215000.0
220,2022-02-17,1,3316000,18,2022-01-20,116.0,16220000.0
221,2022-02-17,2,6838000,32,2022-01-20,116.0,16220000.0
222,2022-02-18,1,2481000,20,2022-01-21,88.0,13864000.0
223,2022-02-18,2,4727000,29,2022-01-21,88.0,13864000.0
224,2022-02-19,1,2843000,23,2022-01-22,156.0,25705000.0
225,2022-02-19,2,4791000,32,2022-01-22,156.0,25705000.0
226,2022-02-20,1,2729000,14,2022-01-23,136.0,23345000.0
227,2022-02-20,2,6376000,39,2022-01-23,136.0,23345000.0
228,2022-02-21,1,2575000,21,2022-01-24,106.0,17778000.0
229,2022-02-21,2,5805000,38,2022-01-24,106.0,17778000.0
230,2022-02-22,1,3779500,20,2022-01-25,96.0,18868000.0
231,2022-02-22,2,4084000,29,2022-01-25,96.0,18868000.0
232,2022-02-23,1,4095000,24,2022-01-26,126.0,21424000.0
233,2022-02-23,2,3931000,21,2022-01-26,126.0,21424000.0
234,2022-02-24,1,2869000,16,2022-01-27,122.0,21134000.0
235,2022-02-24,2,4912000,29,2022-01-27,122.0,21134000.0
236,2022-02-25,1,2319000,14,2022-01-28,100.0,16586000.0
237,2022-02-25,2,6376000,41,2022-01-28,100.0,16586000.0
